NDC,PRODUCTTYPENAME,PROPRIETARYNAME,PROPRIETARYNAMESUFFIX,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,STARTMARKETINGDATE,ENDMARKETINGDATE,MARKETINGCATEGORYNAME,APPLICATIONNUMBER,LABELERNAME,SUBSTANCENAME,ACTIVE_NUMERATOR_STRENGTH,ACTIVE_INGRED_UNIT,PHARM_CLASSES,DEASCHEDULE,NDC_EXCLUDE_FLAG,LISTING_RECORD_CERTIFIED_THROUGH,PRIMARY_ICD10,ALL_ICD10_MAPPINGS,MAPPING_CONFIDENCE
0220-1264,HUMAN OTC DRUG,Chamomilla,,MATRICARIA CHAMOMILLA,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,MATRICARIA CHAMOMILLA,30,[hp_X]/30[hp_X],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1267,HUMAN OTC DRUG,Chamomilla,,MATRICARIA RECUTITA,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,MATRICARIA RECUTITA,6,[hp_X]/1,,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1269,HUMAN OTC DRUG,Chelidonium majus,,CHELIDONIUM MAJUS,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CHELIDONIUM MAJUS,5,[hp_C]/5[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1270,HUMAN OTC DRUG,Chelidonium majus,,CHELIDONIUM MAJUS,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CHELIDONIUM MAJUS,6,[hp_C]/6[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1271,HUMAN OTC DRUG,Chelidonium majus,,CHELIDONIUM MAJUS,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CHELIDONIUM MAJUS,9,[hp_C]/9[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1272,HUMAN OTC DRUG,Chelidonium majus,,CHELIDONIUM MAJUS,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CHELIDONIUM MAJUS,12,[hp_C]/12[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1273,HUMAN OTC DRUG,Chelidonium majus,,CHELIDONIUM MAJUS,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CHELIDONIUM MAJUS,30,[hp_C]/30[hp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1274,HUMAN OTC DRUG,Chelidonium majus,,CHELIDONIUM MAJUS,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CHELIDONIUM MAJUS,200,[kp_C]/200[kp_C],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1277,HUMAN OTC DRUG,Cheiranthus cheiri,,ERYSIMUM CHEIRI,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,ERYSIMUM CHEIRI,9,[hp_C]/1,,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1278,HUMAN OTC DRUG,Chelidonium majus,,CHELIDONIUM MAJUS,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CHELIDONIUM MAJUS,1,[hp_M]/[hp_M],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1281,HUMAN OTC DRUG,Chelidonium majus,,CHELIDONIUM MAJUS,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CHELIDONIUM MAJUS,4,[hp_X]/1,,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
0220-1282,HUMAN OTC DRUG,Chelidonium majus,,CHELIDONIUM MAJUS,PELLET,ORAL,19830303,,UNAPPROVED HOMEOPATHIC,,Boiron,CHELIDONIUM MAJUS,6,[hp_X]/6[hp_X],,,N,20251231,Z51.81,"[{""icd10_code"":""Z51.81"",""description"":""Encounter for therapeutic drug level monitoring"",""confidence"":0.1,""context"":""generic drug therapy""}]",0.10
